Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,ip,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,rna_fraction
SRR15417434,OTHER,76,2896321164,PRJNA669852,SAMN20712966,1077446932,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719281,"RPB3::RPB3-3xFLAG NAT\, BUR2::HIS3",GSM5514155,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514155,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417436,OTHER,76,5253154732,PRJNA669852,SAMN20712968,1995491126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719283,"RPB3::RPB3-3xFLAG NAT\, CCR4::HIS3",GSM5514157,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514157,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417437,OTHER,76,2917759320,PRJNA669852,SAMN20712969,1088146385,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719284,"RPB3::RPB3-3xFLAG NAT\, DST1::HIS3",GSM5514158,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514158,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417438,OTHER,76,4876151868,PRJNA669852,SAMN20712970,1954053510,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719285,"RPB3::RPB3-3xFLAG NAT\, RAD6::HIS3",GSM5514159,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514159,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417440,OTHER,76,4616425288,PRJNA669852,SAMN20712972,1839641659,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719287,"RPB3::RPB3-3xFLAG NAT\, RPB4::HIS3",GSM5514161,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514161,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417442,OTHER,76,4991849404,PRJNA669852,SAMN20712974,1967082390,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719289,"RPB3::RPB3-3xFLAG NAT\, SWR1::HIS3",GSM5514163,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514163,Yeast,SRP287624,BY4741,Nascent RNA
SRR15417443,OTHER,76,5339442852,PRJNA669852,SAMN20712975,2012215510,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11719290,"RPB3::RPB3-3xFLAG NAT\, UBP8::HIS3",GSM5514164,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM5514164,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839969,OTHER,76,3139342792,PRJNA669852,SAMN16478325,1166873581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307472,"RPB3::RPB3-3xFLAG NAT\, BRE1::HIS3",GSM4835494,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835494,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839970,OTHER,76,2642767304,PRJNA669852,SAMN16478324,984238002,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307473,"RPB3::RPB3-3xFLAG NAT\, BRE1::HIS3",GSM4835495,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835495,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839971,OTHER,75,5099063850,PRJNA669852,SAMN16478323,1829746035,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307474,"RPB3::RPB3-3xFLAG NAT\, BRE1::HIS3",GSM4835496,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835496,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839972,OTHER,76,3095540648,PRJNA669852,SAMN16478322,1170007615,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307475,"RPB3::RPB3-3xFLAG NAT\, BUR2::HIS3",GSM4835497,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835497,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839973,OTHER,74,3146540421,PRJNA669852,SAMN16478321,1269190831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307476,"RPB3::RPB3-3xFLAG NAT\, BYE1::HIS3",GSM4835498,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835498,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839974,OTHER,76,3687982384,PRJNA669852,SAMN16478320,1361849800,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307477,"RPB3::RPB3-3xFLAG NAT\, CBC1::HIS3",GSM4835499,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835499,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839975,OTHER,76,2367222996,PRJNA669852,SAMN16478319,892066827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307478,"RPB3::RPB3-3xFLAG NAT\, CBC1::HIS3",GSM4835500,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835500,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839976,OTHER,76,3507203692,PRJNA669852,SAMN16478318,1328917272,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307479,"RPB3::RPB3-3xFLAG NAT\, CBC1::HIS3",GSM4835501,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835501,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839977,OTHER,75,5741315700,PRJNA669852,SAMN16478317,2065737489,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307480,"RPB3::RPB3-3xFLAG NAT\, CCR4::HIS3",GSM4835502,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835502,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839978,OTHER,76,2702762008,PRJNA669852,SAMN16478316,1086958982,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307481,"RPB3::RPB3-3xFLAG NAT\, CDC39::HIS3",GSM4835503,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835503,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839980,OTHER,76,1877829280,PRJNA669852,SAMN16478314,699890832,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307483,"RPB3::RPB3-3xFLAG NAT\, CDC73::HIS3",GSM4835505,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835505,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839981,OTHER,74,5130811271,PRJNA669852,SAMN16478313,2359012095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307484,"RPB3::RPB3-3xFLAG NAT\, CDC73::HIS3",GSM4835506,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835506,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839984,OTHER,76,3518385800,PRJNA669852,SAMN16478310,1310934160,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307487,"RPB3::RPB3-3xFLAG NAT\, CHD1::HIS3",GSM4835509,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835509,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839985,OTHER,75,2492423250,PRJNA669852,SAMN16478309,898320831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307488,"RPB3::RPB3-3xFLAG NAT\, CHD1::HIS3",GSM4835510,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835510,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839986,OTHER,76,1361028292,PRJNA669852,SAMN16478259,552987151,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307489,"RPB3::RPB3-3xFLAG NAT\, CHD1::HIS3",GSM4835511,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835511,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839987,OTHER,74,4194022315,PRJNA669852,SAMN16478258,1996455424,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307490,"RPB3::RPB3-3xFLAG NAT\, CHD1::HIS3",GSM4835512,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835512,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839988,OTHER,75,5800790475,PRJNA669852,SAMN16478257,2137610237,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307491,"RPB3::RPB3-3xFLAG NAT\, CTR9::HIS3",GSM4835513,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835513,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839989,OTHER,76,3675842600,PRJNA669852,SAMN16478256,1362938083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307492,"RPB3::RPB3-3xFLAG NAT\, CTR9::HIS3",GSM4835514,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835514,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839990,OTHER,74,2788309928,PRJNA669852,SAMN16478255,1285446090,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307493,"RPB3::RPB3-3xFLAG NAT\, CTR9::HIS3",GSM4835515,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835515,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839991,OTHER,76,3233996992,PRJNA669852,SAMN16478254,1213660644,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307494,"RPB3::RPB3-3xFLAG NAT\, CTR9::HIS3",GSM4835516,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835516,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839992,OTHER,74,3419723654,PRJNA669852,SAMN16478288,1679834418,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307495,"RPB3::RPB3-3xFLAG NAT\, DHH1::HIS3",GSM4835517,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835517,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839993,OTHER,65,768382355,PRJNA669852,SAMN16478287,437202947,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307496,"RPB3::RPB3-3xFLAG NAT\, DHH1::HIS3",GSM4835518,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835518,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839994,OTHER,76,3783293908,PRJNA669852,SAMN16478286,1439599180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307497,"RPB3::RPB3-3xFLAG NAT\, DST1::HIS3",GSM4835519,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835519,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839995,OTHER,76,2860067036,PRJNA669852,SAMN16478285,1058772033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307498,"RPB3::RPB3-3xFLAG NAT\, EAF1::HIS3",GSM4835520,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835520,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839996,OTHER,76,3606962204,PRJNA669852,SAMN16478284,1354577054,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307499,"RPB3::RPB3-3xFLAG NAT\, EAF1::HIS3",GSM4835521,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835521,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839997,OTHER,74,2926953035,PRJNA669852,SAMN16478283,1438204657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307500,"RPB3::RPB3-3xFLAG NAT\, EAF1::HIS3",GSM4835522,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835522,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839998,OTHER,76,3372162332,PRJNA669852,SAMN16478282,1373895877,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307501,"RPB3::RPB3-3xFLAG NAT\, EAF1::HIS3",GSM4835523,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835523,Yeast,SRP287624,BY4741,Nascent RNA
SRR12839999,OTHER,74,5951531463,PRJNA669852,SAMN16478281,2740009859,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307502,"RPB3::RPB3-3xFLAG NAT\, ELF1::HIS3",GSM4835524,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835524,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840000,OTHER,75,4700198325,PRJNA669852,SAMN16478280,1699849650,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307503,"RPB3::RPB3-3xFLAG NAT\, ELF1::HIS3",GSM4835525,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835525,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840001,OTHER,74,3356740648,PRJNA669852,SAMN16478279,1461432106,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307504,"RPB3::RPB3-3xFLAG NAT\, GCN5::HIS3",GSM4835526,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835526,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840003,OTHER,75,5113017150,PRJNA669852,SAMN16478277,1858007182,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307506,"RPB3::RPB3-3xFLAG NAT\, GCN5::HIS3",GSM4835528,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835528,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840004,OTHER,76,3329053688,PRJNA669852,SAMN16478276,1348472158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307507,"RPB3::RPB3-3xFLAG NAT\, GCN5::HIS3",GSM4835529,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835529,Yeast,SRP287624,BY4741,Nascent RNA
